"No","Date","Battery","Day","Height"
"1","08 Apr 2021 06:18:39","0","08/04/2021","-879"
"2","08 Apr 2021 06:18:26","0","08/04/2021","-905"
"3","08 Apr 2021 06:18:18","0","08/04/2021","-901"
"4","08 Apr 2021 06:18:08","0","08/04/2021","-896"
"5","08 Apr 2021 06:18:01","0","08/04/2021","-870"
"6","08 Apr 2021 06:17:53","0","08/04/2021","-876"
"7","08 Apr 2021 06:17:40","0","08/04/2021","-1178"
"8","08 Apr 2021 05:56:53","12","08/04/2021","-200"
"9","08 Apr 2021 01:12:05","0","08/04/2021","-807"
"10","08 Apr 2021 01:11:41","0","08/04/2021","-802"
"11","08 Apr 2021 01:11:29","0","08/04/2021","-808"
"12","08 Apr 2021 01:11:06","0","08/04/2021","-794"
"13","08 Apr 2021 01:10:30","0","08/04/2021","-808"
"14","08 Apr 2021 01:10:13","0","08/04/2021","-798"
"15","08 Apr 2021 01:10:05","0","08/04/2021","-800"
"16","08 Apr 2021 01:09:59","0","08/04/2021","-802"
"17","08 Apr 2021 01:09:50","0","08/04/2021","-803"
"18","08 Apr 2021 01:09:29","0","08/04/2021","-800"
"19","08 Apr 2021 01:08:55","0","08/04/2021","-789"
"20","08 Apr 2021 01:08:18","0","08/04/2021","-805"
"21","08 Apr 2021 01:07:42","0","08/04/2021","-806"
"22","08 Apr 2021 01:07:05","0","08/04/2021","-796"
"23","08 Apr 2021 01:07:00","0","08/04/2021","-794"
"24","08 Apr 2021 01:06:54","0","08/04/2021","-806"
"25","08 Apr 2021 01:06:24","0","08/04/2021","-792"
"26","08 Apr 2021 01:06:17","0","08/04/2021","-800"
"27","08 Apr 2021 01:06:08","0","08/04/2021","-800"
"28","08 Apr 2021 01:05:59","0","08/04/2021","-795"
"29","08 Apr 2021 01:05:49","0","08/04/2021","-798"
"30","08 Apr 2021 01:05:18","0","08/04/2021","-801"
"31","08 Apr 2021 01:05:05","0","08/04/2021","-800"
"32","08 Apr 2021 01:04:58","0","08/04/2021","-789"
"33","08 Apr 2021 01:04:53","0","08/04/2021","-801"
"34","08 Apr 2021 01:04:44","0","08/04/2021","-800"
"35","08 Apr 2021 01:04:35","0","08/04/2021","-794"
"36","08 Apr 2021 01:04:14","0","08/04/2021","-792"
"37","08 Apr 2021 01:04:05","0","08/04/2021","-797"
"38","08 Apr 2021 01:03:50","0","08/04/2021","-798"
"39","08 Apr 2021 01:03:45","0","08/04/2021","-799"
"40","08 Apr 2021 01:03:27","0","08/04/2021","-793"
"41","08 Apr 2021 01:03:21","0","08/04/2021","-802"
"42","08 Apr 2021 01:02:51","0","08/04/2021","-800"
"43","08 Apr 2021 01:02:45","0","08/04/2021","-791"
